date,set_name,Near Mint
2024-12-02 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-03 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-04 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-05 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-06 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-07 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-08 00:00:00+00:00,SV: Paldean Fates,1131.47
2024-12-09 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-10 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-11 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-12 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-13 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-14 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-15 00:00:00+00:00,SV: Paldean Fates,1146.25
2024-12-16 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-17 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-18 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-19 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-20 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-21 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-22 00:00:00+00:00,SV: Paldean Fates,1143.48
2024-12-23 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-24 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-25 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-26 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-27 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-28 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-29 00:00:00+00:00,SV: Paldean Fates,1157.8500000000001
2024-12-30 00:00:00+00:00,SV: Paldean Fates,1214.84
2024-12-31 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-01 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-02 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-03 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-04 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-05 00:00:00+00:00,SV: Paldean Fates,1214.84
2025-01-06 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-07 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-08 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-09 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-10 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-11 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-12 00:00:00+00:00,SV: Paldean Fates,1233.33
2025-01-13 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-14 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-15 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-16 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-17 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-18 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-19 00:00:00+00:00,SV: Paldean Fates,1291.06
2025-01-20 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-21 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-22 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-23 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-24 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-25 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-26 00:00:00+00:00,SV: Paldean Fates,1375.35
2025-01-27 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-01-28 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-01-29 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-01-30 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-01-31 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-02-01 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-02-02 00:00:00+00:00,SV: Paldean Fates,1474.74
2025-02-03 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-04 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-05 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-06 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-07 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-08 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-09 00:00:00+00:00,SV: Paldean Fates,1471.48
2025-02-10 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-11 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-12 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-13 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-14 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-15 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-16 00:00:00+00:00,SV: Paldean Fates,1485.05
2025-02-17 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-18 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-19 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-20 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-21 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-22 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-23 00:00:00+00:00,SV: Paldean Fates,1476.48
2025-02-24 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-02-25 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-02-26 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-02-27 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-02-28 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-03-01 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-03-02 00:00:00+00:00,SV: Paldean Fates,1486.0
2025-03-03 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-04 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-05 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-06 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-07 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-08 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-09 00:00:00+00:00,SV: Paldean Fates,1487.88
2025-03-10 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-11 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-12 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-13 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-14 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-15 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-16 00:00:00+00:00,SV: Paldean Fates,1487.69
2025-03-17 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-18 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-19 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-20 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-21 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-22 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-23 00:00:00+00:00,SV: Paldean Fates,1475.95
2025-03-24 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-25 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-26 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-27 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-28 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-29 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-30 00:00:00+00:00,SV: Paldean Fates,1462.05
2025-03-31 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-01 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-02 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-03 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-04 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-05 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-06 00:00:00+00:00,SV: Paldean Fates,1441.93
2025-04-07 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-08 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-09 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-10 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-11 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-12 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-13 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-14 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-15 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-16 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-17 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-18 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-19 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-20 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-21 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-22 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-23 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-24 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-25 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-26 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-27 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-28 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-04-29 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-04-30 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-01 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-02 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-03 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-04 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-05 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-06 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-07 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-08 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-09 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-10 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-11 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-12 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-13 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-14 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-15 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-16 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-17 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-18 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-19 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-20 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-21 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-22 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-23 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-24 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-25 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-26 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-27 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-28 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-29 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-30 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-31 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-06-01 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-06-02 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-03 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-04 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-05 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-06 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-07 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-08 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-09 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-10 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-11 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-12 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-13 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-14 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-15 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-16 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-17 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-18 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-19 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-20 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-21 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-22 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-23 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-24 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-25 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-26 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-27 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-28 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-29 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-30 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-01 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-02 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-03 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-04 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-05 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-06 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-07 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-08 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-09 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-10 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-11 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-12 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-13 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-14 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-15 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-16 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-17 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-18 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-19 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-20 00:00:00+00:00,SV: Paldean Fates,1267.35
2025-07-21 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-22 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-23 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-24 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-25 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-26 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-27 00:00:00+00:00,SV: Paldean Fates,1285.96
2025-07-28 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-07-29 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-07-30 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-07-31 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-08-01 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-08-02 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-08-03 00:00:00+00:00,SV: Paldean Fates,1309.53
2025-08-04 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-05 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-06 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-07 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-08 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-09 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-10 00:00:00+00:00,SV: Paldean Fates,1378.1699999999998
2025-08-11 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-12 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-13 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-14 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-15 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-16 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-17 00:00:00+00:00,SV: Paldean Fates,1545.58
2025-08-18 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-19 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-20 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-21 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-22 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-23 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-24 00:00:00+00:00,SV: Paldean Fates,1611.49
2025-08-25 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-26 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-27 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-28 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-29 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-30 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-08-31 00:00:00+00:00,SV: Paldean Fates,1771.32
2025-09-01 00:00:00+00:00,SV: Paldean Fates,1861.72
2025-09-02 00:00:00+00:00,SV: Paldean Fates,1861.72
2025-09-03 00:00:00+00:00,SV: Paldean Fates,1861.72
2025-09-04 00:00:00+00:00,SV: Paldean Fates,1861.72
2025-09-05 00:00:00+00:00,SV: Paldean Fates,1861.72
2025-09-06 00:00:00+00:00,SV: Paldean Fates,1861.72
